lawid	source	lawvolume	lawpage	lawnumberchapter	lawtype	lawtitle	lawapproved	laweffective	lawsovereign	lawurl	lawdescriptiondone	lawnumberchaptertext	lawsession	lawsessiontype	lawpublished	lawissue
1708	732	150	869	3		An ordinance annexing a portion of Ocean Township, in the county of Monmouth, to the borough of Deal, adopted by the board of commissioners of the borough of Deal, March 4, 1926.					f					\N
1709	727	131	469	213		To incorporate the borough of Rumson, in the county of Monmouth.	1907-05-15				t					\N
1710	727	73	115	0		To divide the township of Shrewsbury, in the county of Monmouth.	1849-02-24				f					\N
1711	727	22	287	694		For dividing the Townships of Newark and Acquackanunck, in the County of Essex, into three separate Townships.	1798-02-16				f					\N
1712	727	122	36	17		To consolidate with the city of Trenton, in the county of Mercer, the borough of Wilbur.	1898-02-28				f					\N
1713	727	197:2	788	183		To provide a special charter for the township of South Orange village in the county of Essex and repealing P. L. 1872, c. 527.	1977-08-22				f					\N
1715	727	25	70	30		To incorporate into a Township, a Part of the Townships of Fairfield and Maurice-River, in the County of Cumberland.	1801-02-24				f					\N
1716	727	126	19	7		To incorporate the town of Nutley, in the county of Essex.	1902-03-05				f					\N
1717	727	74	208	0		To incorporate the city of Camden.	1850-03-05	1850-03-11			f					\N
1718	727	133	194	121		To annex to the borough of Fort Lee, in the county of Bergen, part of the borough of Palisade Park.	1909-04-16				t					\N
1720	727	186	710	125		To re-establish and fix portions of the division line between the township of Boonton and the township of Montville in the county of Morris.	1962-07-25				t					\N
1721	727	147	56	27		To incorporate the borough of Hillsdale, in the county of Bergen.	1923-03-02				t					\N
1722	727	114	58	45		For the formation and government of boroughs.	1890-03-12				f					\N
1723	727	142	277	122		To incorporate the borough of Ringwood, in the county of Passaic.	1918-02-23				t					\N
1724	727	82	160	64			1858-02-26				f					\N
1725	727	68	221	0		To annex a part of the township of Franklin, in the county of Bergen, to the township of Washington, in said county.	1844-03-13				f					\N
1726	727	152	36	23		To annex to the borough of Rumson in the county of Monmouth, a part of the township of Shrewsbury in the county of Monmouth.	1928-03-06				t					\N
1727	727	83	90	50		To establish a new township in the county of Camden, to be called the township of Monroe.	1859-03-03				f					\N
1728	727	100	484	33		To straighten the county line brook dividing Union and Somerset counties in the city of Plainfield.	1876-03-16				t					\N
1729	727	68	140	0		To set off a new township in the counties of Monmouth and Middlesex, to be called the township of Millstone.	1844-02-28				f					\N
1730	727	88	404	264		To revise and amend the Charter of the "Town of Bergen," approved March eleventh, eighteen hundred and sixty-two	1864-03-24				f					\N
1731	727	71	16	0		To set off from the township of Evesham, in the county of Burlington, a new township, to be called the township of Medford.	1847-02-04	1847-03-01			f					\N
1732	727	95	314	84		To annex the townships of Washington and Monroe, in the county of Camden, to the county of Gloucester.	1871-02-28				f					\N
1733	727	104	387	17		To divide the township of Westampton, in the county of Burlington, into two townships.	1880-02-11				t					\N
1734	727	139	247	139		To annex to the borough of Allendale in the county of Bergen parts of the township of Franklin in the county of Bergen.	1915-03-31				t					\N
1735	727	138	53	35		To incorporate Pleasantville as a city and fix the boundaries thereof.	1914-03-18				t					\N
1736	727	102	544	43		To change the name of the township of West Woolwich, in the county of Gloucester, to the name of Logan.	1878-03-06				f					\N
1737	732	146	747	2		"Township of New Barbadoes in the County of Bergen" changed to "The City of Hackensack," November 21, 1921.					f					\N
1738	727	123	263	121		To establish a new township in the county of Ocean and state of New Jersey, to be known as the township of Long Beach.	1899-03-23				t					\N
1739	727	200:2	659	183		Concerning certain terms of office and amending R. S. 40:75-1, R. S. 40:75-2, and P. L. 1981, c. 379.	1983-05-10				f					\N
1740	727	151	581	311		To annex the borough of Woodlynne, in the county of Camden, to the city of Camden in the county of Camden.	1927-03-30				t					\N
1741	727	107	199	149		Concerning certain townships in this state.	1883-03-23				f					\N
1743	732	148	755	1		Chapter 221, Laws of 1911, approved April 25, 1911, entitled "An act relating to, regulating and providing for the government of cities, towns, townships, boroughs, villages and municipalities in this State," was adopted by the Borough of North Arlington, August 29, 1923.					f					\N
1744	727	22	329	711		Making Provision for ascertaining the Boundaries of Counties and Townships.	1798-03-05				f					\N
1745	727	97	792	696		To establish a new Township in the County of Warren, to be called the Township of Allamuchy.	1873-04-04				f					\N
1746	727	129	52	31		To incorporate the borough of Norwood, in the county of Bergen.	1905-03-14				t					\N
1747	727	102	544	44		In relation to the extension of the boundaries of the city of Plainfield.	1878-03-06				t					\N
1748	727	155	508	207		To annex to the Borough of Hampton, in the County of Hunterdon and State of New Jersey, a part of the Borough of Glen Gardner in said County of Hunterdon.	1931-04-21				t					\N
1749	727	98	284	242		To set off from the Township of Stafford, in the County of Ocean, a new township to be called the Township of Eagleswood.	1874-03-17				f					\N
1750	727	124	167	88		To incorporate the borough of Highlands, in the county of Monmouth.	1900-03-22				t					\N
1751	727	124	41	24		To incorporate the borough of Secaucus in the county of Hudson.	1900-03-12				t					\N
1752	727	79	582	211		A further supplement to the act entitled, "An act to incorporate the city of Paterson," approved March nineteenth, A. D. eighteen hundred and fifty-one.	1855-03-30				f					\N
1753	727	138	116	77		To incorporate the borough of Toms River, in the county of Ocean.	1914-03-30				t					\N
1754	732	155	1393	1		"The Borough of Riverside," Bergen County, has changed its name to "Borough of River Edge," [...].	1930-12-05				f					\N
1755	727	197:2	318	100		To amend the Charter of the borough of Paramus, in the county of Bergen.	1977-05-23				f					\N
1756	732	175	1423	1		At a special election held in the Township of Haddon, County of Camden, on December 5, 1950, on the question "Shall chapters 70 to 76 of the title Municipalities and Counties of the Revised Statutes (40:70-1 et seq.) providing for the commission form of government, be adopted in the Township of Haddon?", the same was adopted [...].	1950-12-22				f					\N
1757	727	132	122	81		To incorporate the borough of Lakewood.	1908-04-03				t					\N
1758	727	180	540	130		To annex to the township of Willingboro, in the county of Burlington, certain land and territory, now situate in the township of Burlington, in said county.	1956-07-10				t					\N
1759	727	141	304	142		To incorporate the borough of Teterboro, in the county of Bergen.	1917-03-26				t					\N
1760	732	152	889	2		"The Town of Bloomfield in the County of Essex" has changed its name to "The Town of Bloomfield," [...].	1928-02-15				f					\N
1761	727	133	209	137		To annex a portion of the borough of Etna, or Emerson, in the county of Bergen, to the borough of Westwood.	1909-04-16				t					\N
1762	732	163	1089	1		At a Special Election held in the City of Trenton, April 11, 1939, on the question: "Shall Chapters 70 to 76 of the title 'Municipalities and Counties' of the Revised Statutes (40:70-1 et seq.), providing for Commission Form of Government be adopted?" was adopted [...].	1939-04-14				f					\N
1763	727	93	1241	522			1869-04-02				f					\N
1765	727	129	135	72		To incorporate the borough of Bloomsbury, in the county of Hunterdon.	1905-03-30				t					\N
1766	727	98	623	495		To incorporate "The Village of Irvington," in the Township of Clinton, and County of Essex.	1874-03-27				f					\N
1767	727	75	112	0		To incorporate the City of Cape Island.	1851-02-28	1851-03-10			f					\N
1768	727	148	206	108		To incorporate the borough of Brooklawn in the county of Camden.	1924-03-11				t					\N
1769	727	123	28	17		To incorporate the borough of Florham Park, in the county of Morris.	1899-03-09				t					\N
1770	727	128	93	58		To incorporate the borough of Stanhope, in the county of Sussex.	1904-03-24				t					\N
1771	727	133	50	32		To annex to the borough of Cliffside Park, in the county of Bergen, a part or portion of the borough of Fairview, in the county of Bergen.	1909-03-30				t					\N
1772	727	25	51	22		To divide the Township of Shrewsbury in the County of Monmouth.	1801-02-23				f					\N
1773	727	64	35	0		To alter a part of the boundary line between the townships of Chester and Washington, in the county of Morris.	1840-02-19				f					\N
1775	727	98	594	494		To reorganize the Local Government of the township of West Hoboken.	1874-03-27				f					\N
1776	727	85	228	95		To alter the township line between the townships of Tewksbury and Readington, in the county of Hunterdon.	1861-03-08				f					\N
1777	727	69	58	0		To reannex a part of the Upper Township, in the county of Cape May, to the township of Maurice River, in the county of Cumberland.	1845-02-26				f					\N
